Tab. 102 Obce České republiky k 1. 1. 2019;;;;;;;;;;;;;;Souhrn
;;;;;;;;;;;;;;
"Kód
okresu";"Kód
SOORP";Název obce;"Kód
obce";Typ obce;"Správní obvod obce
s rozšířenou působností";"Počet
částí
obce";"Počet
katas-
trů";"Katastr.
výměra
v ha";Počet obyvatel;;;Počet dokončených bytů;;Stavební úřad
;;;;;;;;;celkem;"ve věku
0 - 14 let";"ve věku
65 a více let";2009-2013;2014-2018;
CZ0311;3102;Homole;544493;obec;České Budějovice;3;1;1 095;1 583;315;209;95;50;České Budějovice
CZ0311;3115;Horní Kněžeklady;536105;obec;Týn nad Vltavou;3;1;785;109;8;28;0;0;Týn nad Vltavou
CZ0311;3113;Horní Stropnice;544515;obec;Trhové Sviny;21;12;7 990;1 475;219;303;43;35;Nové Hrady
CZ0311;3102;Hosín;544523;obec;České Budějovice;2;2;3 097;879;151;137;26;13;České Budějovice
CZ0311;3115;Hosty;535524;obec;Týn nad Vltavou;1;1;857;160;22;37;0;0;Týn nad Vltavou
CZ0311;3102;Hradce;535460;obec;České Budějovice;1;1;119;96;22;14;5;3;České Budějovice
CZ0311;3113;Hranice;544540;obec;Trhové Sviny;2;1;722;204;34;37;2;0;Nové Hrady
CZ0311;3102;Hrdějovice;544558;obec;České Budějovice;2;1;882;1 566;229;277;9;3;České Budějovice
CZ0311;3102;Hůry;535753;obec;České Budějovice;1;1;534;579;100;82;13;24;Rudolfov
CZ0311;3102;Hvozdec;535613;obec;České Budějovice;1;1;238;129;22;19;5;1;Lišov
CZ0311;3102;Chotýčany;535907;obec;České Budějovice;1;1;519;239;44;38;4;7;České Budějovice
CZ0311;3115;Chrášťany;544591;obec;Týn nad Vltavou;5;5;2 293;719;108;149;1;4;Týn nad Vltavou
CZ0311;3102;Jankov;544612;obec;České Budějovice;2;2;1 208;386;57;67;4;7;České Budějovice
CZ0311;3113;Jílovice;544639;obec;Trhové Sviny;8;6;4 433;1 010;181;225;10;15;Trhové Sviny
CZ0311;3102;Jivno;535761;obec;České Budějovice;1;1;629;351;67;45;25;25;Rudolfov
CZ0311;3113;Kamenná;535982;obec;Trhové Sviny;3;2;1 263;291;41;45;2;2;Trhové Sviny
CZ0311;3102;Kamenný Újezd;544663;obec;České Budějovice;9;5;2 897;2 393;436;410;51;60;České Budějovice
CZ0311;3102;Komařice;535877;obec;České Budějovice;4;3;1 030;339;65;67;2;2;České Budějovice
CZ0311;3102;Kvítkovice;529729;obec;České Budějovice;1;1;394;125;21;17;0;2;České Budějovice
CZ0311;3102;Ledenice;544736;městys;České Budějovice;6;4;3 455;2 471;450;430;44;43;Ledenice
CZ0311;3102;Libín;544744;obec;České Budějovice;3;3;2 119;403;76;66;11;2;Lišov
CZ0311;3102;Libníč;535800;obec;České Budějovice;2;2;685;518;96;85;38;16;Rudolfov
CZ0311;3102;Lipí;544761;obec;České Budějovice;2;2;782;646;104;104;19;19;České Budějovice
CZ0311;3102;Lišov;544779;město;České Budějovice;13;12;9 355;4 405;760;843;81;20;Lišov
CZ0311;3102;Litvínovice;544795;obec;České Budějovice;3;1;582;2 526;497;321;134;91;České Budějovice
CZ0311;3113;Ločenice;544809;obec;Trhové Sviny;2;2;1 587;711;123;141;15;14;Trhové Sviny
CZ0311;3102;Mazelov;535940;obec;České Budějovice;1;1;863;204;27;39;1;1;České Budějovice
CZ0311;3113;Mladošovice;544817;obec;Trhové Sviny;3;3;1 752;411;73;63;6;8;Borovany
CZ0311;3115;Modrá Hůrka;598615;obec;Týn nad Vltavou;2;1;396;85;20;15;0;0;Týn nad Vltavou
CZ0311;3102;Mokrý Lom;535842;obec;České Budějovice;3;1;356;106;17;22;1;1;České Budějovice
CZ0311;3102;Mydlovary;535281;obec;České Budějovice;1;1;412;304;55;44;6;5;Zliv
CZ0311;3102;Nákří;535371;obec;České Budějovice;1;1;669;222;48;41;4;0;Hluboká nad Vltavou
CZ0311;3102;Nedabyle;544825;obec;České Budějovice;1;1;238;372;62;62;10;10;České Budějovice
CZ0311;3102;Neplachov;535435;obec;České Budějovice;1;1;1 088;352;48;71;1;6;České Budějovice
CZ0311;3102;Nová Ves;535648;obec;České Budějovice;2;1;586;739;143;128;20;10;České Budějovice
CZ0311;3113;Nové Hrady;544868;město;Trhové Sviny;8;9;7 973;2 524;389;504;35;22;Nové Hrady
CZ0311;3113;Olešnice;544884;obec;Trhové Sviny;3;3;2 354;836;161;146;18;13;Trhové Sviny
CZ0311;3102;Olešník;544892;obec;České Budějovice;3;1;2 351;798;140;139;18;5;Hluboká nad Vltavou
CZ0311;3113;Ostrolovský Újezd;535231;obec;Trhové Sviny;1;1;383;177;33;34;10;3;Borovany
CZ0311;3113;Petříkov;535699;obec;Trhové Sviny;2;1;1 936;288;45;59;5;5;Trhové Sviny
CZ0311;3102;Pištín;535991;obec;České Budějovice;4;3;1 403;655;114;115;24;9;Zliv
CZ0311;3102;Planá;535176;obec;České Budějovice;1;1;419;255;40;53;0;1;České Budějovice
CZ0311;3102;Plav;535346;obec;České Budějovice;1;1;510;423;55;77;9;3;České Budějovice
CZ0311;3102;Radošovice;544965;obec;České Budějovice;2;2;909;180;28;40;3;2;České Budějovice
CZ0311;3102;Roudné;544973;obec;České Budějovice;1;1;383;1 263;276;111;130;38;České Budějovice
CZ0311;3102;Rudolfov;544981;město;České Budějovice;2;2;319;2 544;406;564;31;33;Rudolfov
CZ0311;3102;Římov;545007;obec;České Budějovice;6;3;1 528;918;179;141;38;15;České Budějovice
CZ0311;3102;Sedlec;545015;obec;České Budějovice;5;5;2 026;513;99;101;8;13;České Budějovice
CZ0311;3113;Slavče;545023;obec;Trhové Sviny;6;4;1 627;687;113;125;15;15;Trhové Sviny
CZ0311;3102;Srubec;545066;obec;České Budějovice;2;1;600;2 650;533;293;173;151;České Budějovice
CZ0311;3102;Staré Hodějovice;545074;obec;České Budějovice;1;1;508;1 257;224;186;27;49;České Budějovice
CZ0311;3102;Strážkovice;545082;obec;České Budějovice;3;2;1 007;492;78;87;8;14;České Budějovice
CZ0311;3102;Strýčice;536032;obec;České Budějovice;1;1;64;64;10;12;0;0;České Budějovice
CZ0311;3102;Střížov;545091;obec;České Budějovice;1;1;466;221;38;39;0;8;České Budějovice
CZ0311;3113;Svatý Jan nad Malší;545104;obec;Trhové Sviny;3;3;1 296;571;112;76;16;18;Trhové Sviny
CZ0311;3102;Ševětín;545121;městys;České Budějovice;1;1;811;1 405;245;237;35;33;České Budějovice
CZ0311;3102;Štěpánovice;545139;obec;České Budějovice;1;1;1 461;898;184;149;25;11;Lišov
CZ0311;3115;Temelín;545155;obec;Týn nad Vltavou;11;10;5 040;845;125;182;0;1;Týn nad Vltavou
CZ0311;3113;Trhové Sviny;545171;město;Trhové Sviny;14;9;5 278;5 154;865;960;108;86;Trhové Sviny
CZ0311;3115;Týn nad Vltavou;545201;město;Týn nad Vltavou;8;6;4 302;8 000;1 250;1 340;4;14;Týn nad Vltavou
CZ0311;3102;Úsilné;535494;obec;České Budějovice;1;1;303;490;98;85;14;5;České Budějovice
CZ0311;3102;Včelná;545228;obec;České Budějovice;1;1;371;2 154;415;351;79;111;České Budějovice
CZ0311;3102;Vidov;535737;obec;České Budějovice;1;1;123;580;100;58;17;13;České Budějovice
CZ0311;3102;Vitín;535893;obec;České Budějovice;1;1;762;459;99;57;16;13;České Budějovice
CZ0311;3102;Vlkov;535915;obec;České Budějovice;1;1;576;41;5;8;1;0;České Budějovice
CZ0311;3102;Vrábče;545261;obec;České Budějovice;4;2;1 573;780;152;107;40;33;České Budějovice
CZ0311;3102;Vráto;535796;obec;České Budějovice;1;1;153;427;76;54;32;19;Rudolfov
CZ0311;3115;Všemyslice;545287;obec;Týn nad Vltavou;5;4;2 813;1 109;162;194;3;6;Týn nad Vltavou
CZ0311;3102;Záboří;545317;obec;České Budějovice;3;2;1 657;368;63;57;5;1;České Budějovice
CZ0311;3102;Zahájí;536016;obec;České Budějovice;1;1;450;471;72;97;10;7;Zliv
CZ0311;3102;Závraty;599778;obec;České Budějovice;1;1;208;45;10;10;1;3;České Budějovice
CZ0311;3102;Zliv;545341;město;České Budějovice;1;1;1 421;3 569;520;775;24;42;Zliv
CZ0311;3102;Zvíkov;535591;obec;České Budějovice;1;1;964;260;41;43;3;2;Lišov
CZ0311;3102;Žabovřesky;545368;obec;České Budějovice;2;2;1 184;422;57;70;8;5;České Budějovice
CZ0311;3113;Žár;545376;obec;Trhové Sviny;3;3;1 506;349;45;53;7;2;Nové Hrady
CZ0311;3115;Žimutice;545384;obec;Týn nad Vltavou;8;7;3 173;621;95;117;0;3;Týn nad Vltavou
CZ0312;3106;Benešov nad Černou;545406;obec;Kaplice;13;9;5 710;1 454;205;221;6;11;Kaplice
CZ0312;3106;Besednice;545414;městys;Kaplice;2;2;1 612;810;139;171;7;4;Kaplice
CZ0312;3103;Bohdalovice;536253;obec;Český Krumlov;6;6;3 082;293;45;51;9;8;Český Krumlov
CZ0312;3103;Boletice (vojenský újezd);545422;vojen.újezd;Český Krumlov;1;7;16 546;0;0;0;0;0;VÚ Boletice
CZ0312;3103;Brloh;545431;obec;Český Krumlov;7;6;4 617;1 058;172;201;17;10;Křemže
CZ0312;3106;Bujanov;545449;obec;Kaplice;4;2;1 743;563;106;92;1;2;Kaplice
CZ0312;3103;Černá v Pošumaví;545457;obec;Český Krumlov;6;2;5 047;849;142;171;22;12;Horní Planá
CZ0312;3103;Český Krumlov;545392;město;Český Krumlov;10;6;2 216;13 085;2 087;2 699;119;59;Český Krumlov
CZ0312;3106;Dolní Dvořiště;545465;obec;Kaplice;8;12;8 997;1 315;222;199;5;19;Kaplice
CZ0312;3103;Dolní Třebonín;545473;obec;Český Krumlov;8;5;2 043;1 343;262;176;18;16;Český Krumlov
CZ0312;3103;Frymburk;545481;městys;Český Krumlov;4;1;5 488;1 275;201;239;30;31;Horní Planá
CZ0312;3103;Holubov;545490;obec;Český Krumlov;3;2;1 556;1 085;198;201;25;13;Křemže
CZ0312;3106;Horní Dvořiště;545503;obec;Kaplice;2;2;1 359;475;75;69;0;0;Kaplice
CZ0312;3103;Horní Planá;545511;město;Český Krumlov;8;6;12 717;2 088;255;486;24;46;Horní Planá
CZ0312;3103;Hořice na Šumavě;545520;městys;Český Krumlov;6;7;3 196;828;144;129;6;6;Český Krumlov
CZ0312;3103;Chlumec;536229;obec;Český Krumlov;2;1;324;105;25;13;3;0;Český Krumlov
CZ0312;3103;Chvalšiny;545546;obec;Český Krumlov;4;4;2 795;1 254;199;229;9;7;Český Krumlov
CZ0312;3103;Kájov;545554;obec;Český Krumlov;10;5;4 992;1 819;391;256;48;28;Český Krumlov
CZ0312;3106;Kaplice;545562;město;Kaplice;11;6;4 085;7 164;1 166;1 248;25;50;Kaplice
CZ0312;3103;Křemže;545571;městys;Český Krumlov;10;2;3 812;2 901;538;486;78;54;Křemže
CZ0312;3103;Lipno nad Vltavou;545597;obec;Český Krumlov;2;1;1 948;653;111;114;88;99;Vyšší Brod
CZ0312;3103;Loučovice;545601;obec;Český Krumlov;2;4;4 197;1 612;207;356;7;4;Vyšší Brod
CZ0312;3106;Malonty;545619;obec;Kaplice;8;9;6 131;1 390;278;158;29;26;Kaplice
CZ0312;3103;Malšín;536296;obec;Český Krumlov;2;6;2 712;177;24;33;2;4;Vyšší Brod
CZ0312;3103;Mirkovice;545627;obec;Český Krumlov;6;5;1 549;458;79;78;12;8;Český Krumlov
CZ0312;3103;Mojné;598623;obec;Český Krumlov;3;3;851;253;57;36;2;4;Český Krumlov
CZ0312;3106;Netřebice;545643;obec;Kaplice;3;2;1 336;464;62;82;3;1;Kaplice
CZ0312;3103;Nová Ves;513661;obec;Český Krumlov;2;1;994;418;78;73;9;4;Křemže
CZ0312;3106;Omlenice;545660;obec;Kaplice;5;3;1 382;557;94;68;9;12;Kaplice
CZ0312;3106;Pohorská Ves;545694;obec;Kaplice;4;4;8 123;237;43;36;3;0;Kaplice
CZ0312;3103;Polná na Šumavě;500194;obec;Český Krumlov;4;1;1 911;206;35;23;0;0;Český Krumlov
CZ0312;3103;Přední Výtoň;545716;obec;Český Krumlov;1;5;7 784;228;24;82;6;2;Vyšší Brod
CZ0312;3103;Přídolí;545724;městys;Český Krumlov;8;6;4 004;712;155;91;19;4;Český Krumlov
CZ0312;3103;Přísečná;545732;obec;Český Krumlov;1;1;629;203;35;35;4;1;Český Krumlov
CZ0312;3103;Rožmberk nad Vltavou;545767;město;Český Krumlov;2;2;2 481;364;51;61;4;4;Vyšší Brod
CZ0312;3106;Rožmitál na Šumavě;545775;obec;Kaplice;5;5;4 290;449;73;66;0;2;Kaplice
CZ0312;3106;Soběnov;545805;obec;Kaplice;3;1;1 247;371;66;69;2;4;Kaplice
CZ0312;3103;Srnín;536245;obec;Český Krumlov;1;1;672;321;43;61;6;5;Český Krumlov
CZ0312;3106;Střítež;551538;obec;Kaplice;3;1;838;419;54;71;9;3;Kaplice
CZ0312;3103;Světlík;545813;obec;Český Krumlov;1;4;2 681;237;37;49;2;1;Český Krumlov
CZ0312;3106;Velešín;545821;město;Kaplice;5;4;1 324;3 899;577;738;8;21;Kaplice
CZ0312;3103;Větřní;545830;město;Český Krumlov;8;5;2 771;3 882;666;636;74;13;Český Krumlov
CZ0312;3103;Věžovatá Pláně;536300;obec;Český Krumlov;2;1;480;156;31;26;9;3;Český Krumlov
CZ0312;3103;Vyšší Brod;545848;město;Český Krumlov;8;7;6 975;2 621;446;412;16;13;Vyšší Brod
CZ0312;3103;Zlatá Koruna;545864;obec;Český Krumlov;3;3;882;797;129;145;11;14;Český Krumlov
CZ0312;3103;Zubčice;545872;obec;Český Krumlov;3;1;949;426;84;72;16;8;Český Krumlov
CZ0312;3106;Zvíkov;536237;obec;Kaplice;1;1;290;107;25;17;2;0;Kaplice
CZ0313;3104;Báňovice;562726;obec;Dačice;1;1;480;104;11;20;0;1;Dačice
CZ0313;3105;Bednárec;562548;obec;Jindřichův Hradec;1;1;781;116;26;18;2;1;Nová Včelnice
CZ0313;3105;Bednáreček;561053;obec;Jindřichův Hradec;1;1;694;181;27;43;10;2;Jindřichův Hradec
CZ0313;3105;Blažejov;561711;obec;Jindřichův Hradec;5;5;1 989;454;74;76;19;11;Jindřichův Hradec
CZ0313;3105;Bořetín;562742;obec;Jindřichův Hradec;1;1;588;104;18;19;0;2;Jindřichův Hradec
CZ0313;3105;Březina;507733;obec;Jindřichův Hradec;1;1;951;127;13;40;1;0;Jindřichův Hradec
CZ0313;3104;Budeč;546020;obec;Dačice;2;1;509;204;29;29;2;1;Dačice
CZ0313;3104;Budíškovice;546038;obec;Dačice;4;4;2 302;692;111;108;15;5;Dačice
CZ0313;3114;Cep;509191;obec;Třeboň;1;1;3 551;196;27;40;0;0;Třeboň
CZ0313;3104;Cizkrajov;546054;obec;Dačice;4;4;2 576;542;80;108;16;0;Dačice
CZ0313;3104;Červený Hrádek;509116;obec;Dačice;1;1;680;210;33;30;1;0;Dačice
CZ0313;3114;České Velenice;546089;město;Třeboň;1;1;1 209;3 521;585;608;16;14;České Velenice
CZ0313;3104;Český Rudolec;546097;obec;Dačice;10;8;4 928;923;127;198;9;11;Dačice
CZ0313;3105;Číměř;546101;obec;Jindřichův Hradec;7;7;4 578;721;108;138;15;6;Nová Bystřice
CZ0313;3105;Člunek;561703;obec;Jindřichův Hradec;3;3;2 495;472;84;86;15;8;Jindřichův Hradec
CZ0313;3104;Dačice;546127;město;Dačice;16;11;6 696;7 325;1 045;1 629;60;176;Dačice
CZ0313;3104;Dešná;546143;obec;Dačice;7;7;3 774;610;84;125;9;0;Slavonice
CZ0313;3105;Deštná;546151;město;Jindřichův Hradec;2;2;1 270;749;114;148;8;2;Jindřichův Hradec
CZ0313;3105;Dívčí Kopy;529753;obec;Jindřichův Hradec;1;1;272;72;9;11;0;1;Nová Včelnice
CZ0313;3104;Dobrohošť;562416;obec;Dačice;1;1;338;43;6;5;0;2;Dačice
CZ0313;3105;Dolní Pěna;562467;obec;Jindřichův Hradec;1;1;530;386;87;37;37;11;Jindřichův Hradec
CZ0313;3105;Dolní Žďár;562602;obec;Jindřichův Hradec;2;2;684;152;32;19;4;3;Jindřichův Hradec
CZ0313;3114;Domanín;562840;obec;Třeboň;1;1;1 243;395;76;48;24;11;Třeboň
CZ0313;3105;Doňov;507610;obec;Jindřichův Hradec;1;1;513;83;17;19;0;0;Jindřichův Hradec
CZ0313;3105;Drunče;560987;obec;Jindřichův Hradec;2;1;411;46;6;12;1;0;Jindřichův Hradec
CZ0313;3114;Dunajovice;562815;obec;Třeboň;1;1;818;221;39;33;2;4;Třeboň
CZ0313;3114;Dvory nad Lužnicí;509141;obec;Třeboň;1;1;1 564;331;47;66;5;5;Suchdol nad Lužnicí
CZ0313;3114;Frahelž;562637;obec;Třeboň;1;1;301;147;19;36;2;1;Třeboň
CZ0313;3105;Hadravova Rosička;562696;obec;Jindřichův Hradec;1;1;270;60;14;12;0;1;Nová Včelnice
CZ0313;3114;Halámky;562807;obec;Třeboň;1;1;689;194;16;47;3;2;Suchdol nad Lužnicí
CZ0313;3114;Hamr;562386;obec;Třeboň;1;1;1 195;363;55;79;4;1;Třeboň
CZ0313;3105;Hatín;546291;obec;Jindřichův Hradec;3;2;2 991;200;28;45;1;5;Jindřichův Hradec
CZ0313;3104;Heřmaneč;546305;obec;Dačice;1;1;510;87;13;14;3;0;Studená
CZ0313;3104;Horní Meziříčko;598658;obec;Dačice;1;1;440;116;24;23;0;0;Studená
CZ0313;3104;Horní Němčice;562785;obec;Dačice;1;1;417;82;11;19;0;1;Studená
CZ0313;3105;Horní Pěna;546364;obec;Jindřichův Hradec;2;2;1 485;602;93;111;13;4;Jindřichův Hradec
CZ0313;3105;Horní Radouň;546381;obec;Jindřichův Hradec;4;2;1 536;240;34;62;3;3;Nová Včelnice
CZ0313;3105;Horní Skrýchov;561061;obec;Jindřichův Hradec;1;1;363;168;30;14;8;4;Jindřichův Hradec
CZ0313;3104;Horní Slatina;562319;obec;Dačice;1;1;584;134;12;33;2;1;Dačice
CZ0313;3105;Hospříz;546402;obec;Jindřichův Hradec;2;2;860;426;72;60;16;12;Jindřichův Hradec
CZ0313;3114;Hrachoviště;562831;obec;Třeboň;1;1;490;78;12;15;0;0;Třeboň
CZ0313;3104;Hříšice;546445;obec;Dačice;2;2;1 164;336;61;51;4;3;Dačice
CZ0313;3114;Chlum u Třeboně;546461;městys;Třeboň;4;4;4 738;1 959;241;556;13;7;Třeboň
CZ0313;3105;Jarošov nad Nežárkou;546500;obec;Jindřichův Hradec;8;7;2 776;1 103;159;219;23;13;Nová Včelnice
CZ0313;3105;Jilem;562769;obec;Jindřichův Hradec;1;1;455;123;25;25;0;3;Studená
CZ0313;3105;Jindřichův Hradec;545881;město;Jindřichův Hradec;14;10;7 429;21 445;3 267;4 671;252;151;Jindřichův Hradec
CZ0313;3105;Kačlehy;562491;obec;Jindřichův Hradec;1;1;874;97;21;16;4;5;Jindřichův Hradec
CZ0313;3105;Kamenný Malíkov;598631;obec;Jindřichův Hradec;1;1;473;65;9;18;3;1;Jindřichův Hradec
CZ0313;3105;Kardašova Řečice;546542;město;Jindřichův Hradec;3;3;4 583;2 199;341;427;22;18;Jindřichův Hradec
CZ0313;3114;Klec;562688;obec;Třeboň;1;1;632;165;17;42;2;0;Třeboň
CZ0313;3105;Kostelní Radouň;509108;obec;Jindřichův Hradec;1;1;591;294;39;61;7;8;Jindřichův Hradec
CZ0313;3104;Kostelní Vydří;508357;obec;Dačice;1;1;651;160;20;33;1;1;Dačice
CZ0313;3105;Kunžak;546615;obec;Jindřichův Hradec;7;5;4 956;1 476;209;310;22;4;Jindřichův Hradec
CZ0313;3105;Lásenice;546623;obec;Jindřichův Hradec;1;1;1 041;554;82;90;10;6;Jindřichův Hradec
CZ0313;3105;Lodhéřov;546666;obec;Jindřichův Hradec;3;3;2 375;654;93;127;14;12;Jindřichův Hradec
CZ0313;3114;Lomnice nad Lužnicí;546674;město;Třeboň;1;1;1 889;1 778;262;387;76;11;Třeboň
CZ0313;3114;Lužnice;508501;obec;Třeboň;1;1;1 214;417;75;76;6;2;Třeboň
CZ0313;3114;Majdalena;546712;obec;Třeboň;1;1;1 296;507;81;101;12;2;Třeboň
CZ0313;3105;Nová Bystřice;546798;město;Jindřichův Hradec;13;13;8 183;3 281;482;664;36;23;Nová Bystřice
CZ0313;3105;Nová Olešná;562734;obec;Jindřichův Hradec;1;1;723;134;23;33;0;1;Jindřichův Hradec
CZ0313;3105;Nová Včelnice;546801;město;Jindřichův Hradec;1;1;1 010;2 254;309;537;15;10;Nová Včelnice
CZ0313;3114;Nová Ves nad Lužnicí;562360;obec;Třeboň;2;2;2 382;338;59;61;6;8;České Velenice
CZ0313;3114;Novosedly nad Nežárkou;546844;obec;Třeboň;3;3;4 472;659;98;126;14;4;Třeboň
CZ0313;3105;Okrouhlá Radouň;562475;obec;Jindřichův Hradec;1;1;908;197;24;51;9;4;Nová Včelnice
CZ0313;3104;Peč;507717;obec;Dačice;3;3;1 812;472;88;69;5;4;Dačice
CZ0313;3104;Písečné;546917;obec;Dačice;7;7;3 346;506;75;95;0;0;Slavonice
CZ0313;3105;Pístina;561070;obec;Jindřichův Hradec;1;1;1 015;126;15;26;7;3;Jindřichův Hradec
CZ0313;3105;Plavsko;509078;obec;Jindřichův Hradec;1;1;1 089;450;61;84;16;4;Jindřichův Hradec
CZ0313;3105;Pleše;507628;obec;Jindřichův Hradec;1;1;984;184;27;39;5;0;Jindřichův Hradec
CZ0313;3105;Pluhův Žďár;546968;obec;Jindřichův Hradec;8;7;3 337;610;104;116;11;4;Jindřichův Hradec
CZ0313;3105;Polště;562459;obec;Jindřichův Hradec;1;1;413;116;19;24;7;0;Jindřichův Hradec
CZ0313;3114;Ponědraž;562670;obec;Třeboň;1;1;580;117;22;26;6;0;Třeboň
CZ0313;3114;Ponědrážka;562653;obec;Třeboň;1;1;637;78;10;23;1;1;Třeboň
CZ0313;3105;Popelín;546992;obec;Jindřichův Hradec;2;2;1 347;501;82;113;10;2;Jindřichův Hradec
CZ0313;3105;Příbraz;561088;obec;Jindřichův Hradec;1;1;711;261;40;60;11;6;Jindřichův Hradec
CZ0313;3114;Rapšach;547069;obec;Třeboň;2;2;2 835;635;117;107;3;7;Suchdol nad Lužnicí
CZ0313;3105;Ratiboř;507784;obec;Jindřichův Hradec;1;1;1 168;176;19;51;4;0;Jindřichův Hradec
CZ0313;3105;Rodvínov;547085;obec;Jindřichův Hradec;2;2;1 272;596;105;87;43;25;Jindřichův Hradec
CZ0313;3105;Roseč;508004;obec;Jindřichův Hradec;1;1;546;230;49;33;7;4;Jindřichův Hradec
CZ0313;3105;Rosička;560995;obec;Jindřichův Hradec;1;1;395;62;4;20;0;0;Jindřichův Hradec
CZ0313;3104;Slavonice;547166;město;Dačice;7;8;4 581;2 386;291;493;17;9;Slavonice
CZ0313;3114;Smržov;561045;obec;Třeboň;1;1;1 090;119;16;22;0;0;Třeboň
CZ0313;3114;Staňkov;562378;obec;Třeboň;1;1;1 893;199;21;55;3;0;Třeboň
CZ0313;3104;Staré Hobzí;547204;obec;Dačice;5;4;2 477;520;83;95;3;6;Dačice
CZ0313;3105;Staré Město pod Landštejnem;547212;městys;Jindřichův Hradec;8;15;6 925;466;63;92;1;2;Nová Bystřice
CZ0313;3105;Stráž nad Nežárkou;547221;město;Jindřichův Hradec;3;3;3 629;862;134;189;13;7;Jindřichův Hradec
CZ0313;3105;Strmilov;547239;město;Jindřichův Hradec;5;5;3 061;1 425;200;309;10;16;Jindřichův Hradec
CZ0313;3114;Stříbřec;547247;obec;Třeboň;3;3;1 896;449;52;117;4;0;Třeboň
CZ0313;3105;Střížovice;508152;obec;Jindřichův Hradec;3;3;1 236;565;81;107;4;2;Jindřichův Hradec
CZ0313;3104;Studená;547263;obec;Dačice;10;10;4 496;2 295;323;511;2;4;Studená
CZ0313;3114;Suchdol nad Lužnicí;547280;město;Třeboň;6;5;6 358;3 522;491;792;34;17;Suchdol nad Lužnicí
CZ0313;3105;Světce;561029;obec;Jindřichův Hradec;1;1;759;131;12;32;2;0;Jindřichův Hradec
CZ0313;3104;Třebětice;562327;obec;Dačice;1;1;695;326;75;49;8;9;Dačice
CZ0313;3114;Třeboň;547336;město;Třeboň;8;6;9 831;8 253;1 159;1 968;244;60;Třeboň
CZ0313;3105;Újezdec;507644;obec;Jindřichův Hradec;1;1;422;72;10;23;1;1;Jindřichův Hradec
CZ0313;3105;Velký Ratmírov;562599;obec;Jindřichův Hradec;1;1;1 357;220;32;46;9;2;Jindřichův Hradec
CZ0313;3105;Vícemil;561037;obec;Jindřichův Hradec;1;1;382;79;9;18;2;4;Jindřichův Hradec
CZ0313;3105;Višňová;507652;obec;Jindřichův Hradec;1;1;578;80;17;13;1;1;Jindřichův Hradec
CZ0313;3105;Vlčetínec;598640;obec;Jindřichův Hradec;1;1;622;46;3;12;0;0;Nová Včelnice
CZ0313;3104;Volfířov;547441;obec;Dačice;8;6;3 281;723;126;118;10;11;Dačice
CZ0313;3105;Vydří;562629;obec;Jindřichův Hradec;1;1;587;110;9;33;2;2;Jindřichův Hradec
CZ0313;3114;Záblatí;508683;obec;Třeboň;1;1;1 028;79;16;13;0;1;Třeboň
CZ0313;3105;Záhoří;507695;obec;Jindřichův Hradec;1;1;361;114;16;14;0;1;Jindřichův Hradec
CZ0313;3105;Zahrádky;547468;obec;Jindřichův Hradec;2;2;820;261;46;58;9;2;Jindřichův Hradec
CZ0313;3105;Žďár;529761;obec;Jindřichův Hradec;2;2;713;98;17;23;3;6;Nová Včelnice
CZ0313;3104;Županovice;562424;obec;Dačice;1;1;448;61;17;8;4;0;Slavonice
CZ0314;3108;Albrechtice nad Vltavou;549258;obec;Písek;6;4;3 672;921;150;204;8;6;Písek
CZ0314;3107;Bernartice;549266;městys;Milevsko;11;9;3 643;1 308;175;308;8;13;Bernartice
CZ0314;3107;Borovany;598780;obec;Milevsko;1;1;637;220;33;37;1;2;Bernartice
CZ0314;3108;Boudy;562122;obec;Písek;1;1;1 001;188;36;36;5;6;Mirotice
CZ0314;3107;Božetice;549291;obec;Milevsko;2;2;1 363;367;45;69;3;3;Milevsko
CZ0314;3107;Branice;549304;obec;Milevsko;1;1;506;290;35;66;10;4;Milevsko
CZ0314;3108;Cerhonice;549321;obec;Písek;2;1;951;146;21;43;2;2;Mirotice
CZ0314;3108;Čimelice;549339;obec;Písek;2;2;1 029;959;118;232;10;10;Mirotice
CZ0314;3108;Čížová;549347;obec;Písek;7;6;3 610;1 234;217;203;32;13;Písek
CZ0314;3108;Dobev;549363;obec;Písek;5;3;2 128;913;165;135;29;21;Písek
CZ0314;3108;Dolní Novosedly;562301;obec;Písek;4;2;852;227;37;36;2;2;Písek
CZ0314;3108;Drhovle;549380;obec;Písek;7;4;2 327;556;79;154;8;8;Písek
CZ0314;3108;Heřmaň;549398;obec;Písek;1;1;706;275;47;44;1;8;Písek
CZ0314;3108;Horosedly;561525;obec;Písek;1;1;577;143;25;24;3;2;Mirovice
CZ0314;3107;Hrazany;549410;obec;Milevsko;4;4;849;282;41;63;3;2;Milevsko
CZ0314;3107;Hrejkovice;549428;obec;Milevsko;4;3;1 341;478;68;121;6;5;Milevsko
CZ0314;3107;Chyšky;549452;obec;Milevsko;20;8;3 032;1 072;177;187;8;8;Milevsko
CZ0314;3107;Jetětice;549479;obec;Milevsko;2;1;1 372;288;46;59;10;5;Milevsko
CZ0314;3107;Jickovice;562084;obec;Milevsko;2;1;1 134;133;29;20;3;5;Milevsko
CZ0314;3108;Kestřany;549487;obec;Písek;3;3;2 010;703;124;101;5;5;Písek
CZ0314;3108;Kluky;549495;obec;Písek;3;2;1 361;625;117;121;6;5;Písek
