Tab. 102 Obce České republiky k 1. 1. 2019;;;;;;;;;;;;;;Souhrn
;;;;;;;;;;;;;;
"Kód
okresu";"Kód
SOORP";Název obce;"Kód
obce";Typ obce;"Správní obvod obce
s rozšířenou působností";"Počet
částí
obce";"Počet
katas-
trů";"Katastr.
výměra
v ha";Počet obyvatel;;;Počet dokončených bytů;;Stavební úřad
;;;;;;;;;celkem;"ve věku
0 - 14 let";"ve věku
65 a více let";2009-2013;2014-2018;
CZ0201;2125;Načeradec;530212;městys;Vlašim;11;9;4 845;1 056;154;242;21;32;Vlašim
CZ0201;2101;Nespeky;530263;obec;Benešov;3;1;496;743;149;146;20;4;Benešov
CZ0201;2101;Netvořice;530298;městys;Benešov;7;5;1 788;1 132;204;213;17;16;Týnec nad Sázavou
CZ0201;2126;Neustupov;530301;městys;Votice;17;5;2 869;529;111;91;2;5;Votice
CZ0201;2101;Neveklov;530310;město;Benešov;23;9;5 446;2 638;451;471;40;8;Neveklov
CZ0201;2126;Olbramovice;530344;obec;Votice;15;4;2 537;1 247;205;217;31;20;Votice
CZ0201;2125;Ostrov;599395;obec;Vlašim;1;1;336;48;7;10;1;1;Vlašim
CZ0201;2101;Ostředek;530352;obec;Benešov;5;3;1 297;388;83;72;10;5;Sázava
CZ0201;2125;Pavlovice;533076;obec;Vlašim;1;1;392;229;52;43;5;8;Vlašim
CZ0201;2101;Petroupim;530409;obec;Benešov;3;1;951;306;46;55;3;5;Benešov
CZ0201;2101;Popovice;532649;obec;Benešov;6;1;1 172;279;37;62;5;2;Benešov
CZ0201;2101;Poříčí nad Sázavou;530441;obec;Benešov;2;1;927;1 344;275;230;28;25;Benešov
CZ0201;2101;Postupice;530450;obec;Benešov;16;7;4 000;1 355;237;263;35;30;Benešov
CZ0201;2125;Pravonín;530476;obec;Vlašim;7;3;1 980;574;92;101;9;7;Vlašim
CZ0201;2101;Přestavlky u Čerčan;530492;obec;Benešov;3;1;648;377;70;65;24;8;Benešov
CZ0201;2125;Psáře;530514;obec;Vlašim;2;1;830;130;17;25;3;3;Vlašim
CZ0201;2101;Pyšely;538680;město;Benešov;5;3;1 281;1 971;454;317;110;90;Benešov
CZ0201;2101;Rabyně;530522;obec;Benešov;5;2;1 589;271;26;73;6;7;Týnec nad Sázavou
CZ0201;2125;Radošovice;530531;obec;Vlašim;3;1;803;366;64;60;8;16;Vlašim
CZ0201;2125;Rataje;530549;obec;Vlašim;1;1;449;160;20;33;0;1;Vlašim
CZ0201;2126;Ratměřice;532550;obec;Votice;3;2;954;301;45;64;4;7;Votice
CZ0201;2101;Řehenice;538710;obec;Benešov;7;2;1 104;432;52;87;17;11;Velké Popovice
CZ0201;2125;Řimovice;532941;obec;Vlašim;1;1;331;226;43;31;5;9;Vlašim
CZ0201;2101;Sázava;534382;město;Benešov;5;5;2 042;3 720;554;868;70;27;Sázava
CZ0201;2125;Slověnice;532231;obec;Vlašim;1;1;295;37;8;10;2;0;Divišov
CZ0201;2126;Smilkov;530611;obec;Votice;6;2;1 121;271;34;73;1;0;Votice
CZ0201;2125;Snět;532436;obec;Vlašim;1;1;603;112;22;25;1;1;Dolní Kralovice
CZ0201;2101;Soběhrdy;530638;obec;Benešov;5;2;1 012;410;87;64;12;9;Benešov
CZ0201;2125;Soutice;599387;obec;Vlašim;3;1;1 088;255;32;72;2;1;Vlašim
CZ0201;2101;Stranný;599379;obec;Benešov;2;1;551;113;25;18;3;1;Neveklov
CZ0201;2125;Strojetice;599361;obec;Vlašim;1;1;502;124;16;33;4;1;Čechtice
CZ0201;2101;Struhařov;530689;obec;Benešov;15;7;2 196;890;169;144;42;37;Benešov
CZ0201;2126;Střezimíř;530701;obec;Votice;5;2;820;315;46;66;3;3;Votice
CZ0201;2125;Studený;530719;obec;Vlašim;2;1;442;94;10;25;1;0;Vlašim
CZ0201;2125;Šetějovice;532509;obec;Vlašim;3;3;611;58;8;21;0;0;Dolní Kralovice
CZ0201;2125;Tehov;530751;obec;Vlašim;3;2;1 003;362;71;58;6;7;Vlašim
CZ0201;2101;Teplýšovice;530760;obec;Benešov;5;2;1 057;521;113;66;18;6;Benešov
CZ0201;2125;Tichonice;530778;obec;Vlašim;6;2;999;207;27;43;0;4;Vlašim
CZ0201;2101;Tisem;532592;obec;Benešov;1;1;346;221;30;42;4;1;Neveklov
CZ0201;2125;Tomice;532541;obec;Vlašim;1;1;722;137;29;24;0;2;Dolní Kralovice
CZ0201;2125;Trhový Štěpánov;530816;město;Vlašim;6;5;2 891;1 387;228;267;16;16;Vlašim
CZ0201;2101;Třebešice;532304;obec;Benešov;1;1;418;90;9;17;3;6;Divišov
CZ0201;2101;Týnec nad Sázavou;530841;město;Benešov;8;5;2 575;5 715;929;1 317;141;77;Týnec nad Sázavou
CZ0201;2101;Václavice;532061;obec;Benešov;3;1;825;591;105;88;16;9;Benešov
CZ0201;2125;Veliš;530867;obec;Vlašim;4;3;1 227;327;56;66;6;2;Vlašim
CZ0201;2125;Vlašim;530883;město;Vlašim;7;6;4 142;11 598;1 711;2 591;73;84;Vlašim
CZ0201;2101;Vodslivy;532614;obec;Benešov;1;1;471;96;11;16;1;2;Sázava
CZ0201;2126;Vojkov;530891;obec;Votice;9;3;1 554;493;71;142;6;4;Votice
CZ0201;2126;Votice;530905;město;Votice;22;6;3 642;4 587;764;974;50;14;Votice
CZ0201;2125;Vracovice;530913;obec;Vlašim;2;1;1 093;401;72;68;7;6;Vlašim
CZ0201;2101;Vranov;530921;obec;Benešov;9;2;949;416;70;83;13;5;Benešov
CZ0201;2126;Vrchotovy Janovice;530948;městys;Votice;10;4;2 308;1 027;199;157;19;9;Votice
CZ0201;2125;Všechlapy;532266;obec;Vlašim;1;1;556;106;17;22;1;8;Divišov
CZ0201;2101;Vysoký Újezd;513482;obec;Benešov;2;1;407;196;26;48;1;3;Týnec nad Sázavou
CZ0201;2101;Xaverov;571415;obec;Benešov;1;1;217;56;9;11;0;0;Sázava
CZ0201;2125;Zdislavice;531022;městys;Vlašim;1;1;677;535;75;102;8;3;Vlašim
CZ0201;2126;Zvěstov;531049;obec;Votice;11;4;2 239;347;46;95;4;1;Votice
CZ0202;2102;Bavoryně;534421;obec;Beroun;5;1;222;348;81;52;15;28;Zdice
CZ0202;2102;Beroun;531057;město;Beroun;7;4;3 125;19 510;3 457;3 669;535;353;Beroun
CZ0202;2108;Běštín;531073;obec;Hořovice;1;1;301;328;54;72;8;10;Hostomice
CZ0202;2102;Broumy;531081;obec;Beroun;1;1;2 858;963;178;172;26;7;Králův Dvůr
CZ0202;2108;Březová;531090;obec;Hořovice;1;1;463;339;74;60;8;10;Žebrák
CZ0202;2102;Bubovice;531103;obec;Beroun;1;1;410;519;119;47;68;26;Beroun
CZ0202;2102;Bykoš;534145;obec;Beroun;1;1;407;224;33;50;2;7;Králův Dvůr
CZ0202;2108;Bzová;531120;obec;Hořovice;1;1;1 121;445;67;90;6;4;Žebrák
CZ0202;2108;Cerhovice;531138;městys;Hořovice;2;2;810;1 183;202;249;28;15;Žebrák
CZ0202;2108;Drozdov;531154;obec;Hořovice;1;1;1 003;785;152;148;10;7;Žebrák
CZ0202;2108;Felbabka;531162;obec;Hořovice;1;2;170;290;59;68;8;2;Hořovice
CZ0202;2102;Hlásná Třebaň;531171;obec;Beroun;2;1;408;1 060;241;171;68;35;Beroun
CZ0202;2108;Hořovice;531189;město;Hořovice;1;2;955;6 844;1 057;1 350;130;44;Hořovice
CZ0202;2108;Hostomice;531201;město;Hořovice;4;3;2 826;1 765;289;347;30;30;Hostomice
CZ0202;2108;Hředle;531219;obec;Hořovice;1;1;1 235;393;64;80;5;2;Zdice
CZ0202;2102;Hudlice;531227;obec;Beroun;1;1;2 075;1 218;186;258;9;8;Králův Dvůr
CZ0202;2108;Hvozdec;531235;obec;Hořovice;2;2;446;249;39;54;3;3;Hořovice
CZ0202;2102;Hýskov;531243;obec;Beroun;1;1;640;1 869;348;307;50;129;Beroun
CZ0202;2108;Chaloupky;531251;obec;Hořovice;2;2;657;511;70;115;22;11;Hořovice
CZ0202;2108;Chlustina;534455;obec;Hořovice;1;1;558;241;42;50;3;1;Žebrák
CZ0202;2102;Chodouň;534447;obec;Beroun;1;1;425;689;130;120;12;18;Zdice
CZ0202;2102;Chrustenice;533670;obec;Beroun;1;1;673;970;208;129;21;57;Beroun
CZ0202;2102;Chyňava;531294;obec;Beroun;5;4;3 794;1 827;271;362;23;27;Beroun
CZ0202;2108;Jivina;531308;obec;Hořovice;1;1;454;194;30;43;3;6;Hořovice
CZ0202;2102;Karlštejn;531316;městys;Beroun;1;2;1 208;848;150;186;17;12;Beroun
CZ0202;2108;Komárov;531324;městys;Hořovice;2;2;616;2 419;346;524;21;14;Hořovice
CZ0202;2102;Koněprusy;531332;obec;Beroun;2;2;604;248;41;38;3;5;Králův Dvůr
CZ0202;2102;Korno;533793;obec;Beroun;1;1;518;118;22;19;2;1;Beroun
CZ0202;2108;Kotopeky;534072;obec;Hořovice;2;1;393;303;50;56;4;3;Hořovice
CZ0202;2102;Králův Dvůr;533203;město;Beroun;7;5;1 524;9 357;2 121;1 235;456;558;Králův Dvůr
CZ0202;2102;Kublov;531375;obec;Beroun;1;1;628;658;114;121;14;3;Králův Dvůr
CZ0202;2108;Lážovice;533939;obec;Hořovice;2;1;489;108;20;17;2;3;Hostomice
CZ0202;2108;Lhotka;533335;obec;Hořovice;1;1;534;338;60;54;7;11;Hostomice
CZ0202;2108;Libomyšl;531448;obec;Hořovice;2;2;970;584;92;111;16;11;Zdice
CZ0202;2102;Liteň;531456;městys;Beroun;4;2;1 277;1 185;230;201;25;27;Králův Dvůr
CZ0202;2102;Loděnice;531464;obec;Beroun;2;1;608;2 002;330;306;49;28;Beroun
CZ0202;2108;Lochovice;531472;obec;Hořovice;4;1;1 324;1 214;217;197;21;30;Hořovice
CZ0202;2102;Lužce;534404;obec;Beroun;1;1;301;124;26;20;2;2;Beroun
CZ0202;2108;Malá Víska;533319;obec;Hořovice;1;2;1 019;98;14;21;4;3;Hořovice
CZ0202;2102;Málkov;534218;obec;Beroun;1;1;340;112;20;15;1;0;Králův Dvůr
CZ0202;2102;Měňany;531529;obec;Beroun;2;2;816;308;55;53;5;2;Králův Dvůr
CZ0202;2102;Mezouň;531537;obec;Beroun;1;1;306;571;85;109;10;10;Beroun
CZ0202;2102;Mořina;531545;obec;Beroun;3;2;983;851;175;122;22;9;Beroun
CZ0202;2102;Mořinka;533912;obec;Beroun;1;1;702;161;26;33;4;2;Beroun
CZ0202;2102;Nenačovice;533602;obec;Beroun;1;1;398;274;47;54;5;6;Beroun
CZ0202;2102;Nesvačily;534269;obec;Beroun;1;1;274;164;35;27;9;3;Hostomice
CZ0202;2108;Neumětely;531588;obec;Hořovice;1;1;937;577;120;99;7;7;Hostomice
CZ0202;2102;Nižbor;531596;obec;Beroun;3;3;2 801;2 056;377;393;40;18;Beroun
